id,dataset,method,method_confidence_level,method_bias,method_recall_target,filename,row_count
219,clef-CD007394,BUSCAR,0.99,10.0,0.99,clef-CD007394_BUSCAR_0.99_10.0_0.99.csv,159
220,clef-CD007394,BUSCAR,0.99,2.0,0.8,clef-CD007394_BUSCAR_0.99_2.0_0.8.csv,159
221,clef-CD007394,BUSCAR,0.99,2.0,0.9,clef-CD007394_BUSCAR_0.99_2.0_0.9.csv,159
222,clef-CD007394,BUSCAR,0.99,2.0,0.95,clef-CD007394_BUSCAR_0.99_2.0_0.95.csv,159
223,clef-CD007394,BUSCAR,0.99,2.0,0.99,clef-CD007394_BUSCAR_0.99_2.0_0.99.csv,159
224,clef-CD007394,BUSCAR,0.99,5.0,0.8,clef-CD007394_BUSCAR_0.99_5.0_0.8.csv,159
225,clef-CD007394,BUSCAR,0.99,5.0,0.9,clef-CD007394_BUSCAR_0.99_5.0_0.9.csv,159
226,clef-CD007394,BUSCAR,0.99,5.0,0.95,clef-CD007394_BUSCAR_0.99_5.0_0.95.csv,159
227,clef-CD007394,BUSCAR,0.99,5.0,0.99,clef-CD007394_BUSCAR_0.99_5.0_0.99.csv,159
228,clef-CD007394,CURVE_FITTING,0.8,none,0.8,clef-CD007394_CURVE_FITTING_0.8_none_0.8.csv,1580
229,clef-CD007394,CURVE_FITTING,0.8,none,0.9,clef-CD007394_CURVE_FITTING_0.8_none_0.9.csv,1580
230,clef-CD007394,CURVE_FITTING,0.8,none,0.95,clef-CD007394_CURVE_FITTING_0.8_none_0.95.csv,1580
231,clef-CD007394,CURVE_FITTING,0.8,none,0.99,clef-CD007394_CURVE_FITTING_0.8_none_0.99.csv,1580
232,clef-CD007394,CURVE_FITTING,0.95,none,0.8,clef-CD007394_CURVE_FITTING_0.95_none_0.8.csv,1580
233,clef-CD007394,CURVE_FITTING,0.95,none,0.9,clef-CD007394_CURVE_FITTING_0.95_none_0.9.csv,1580
234,clef-CD007394,CURVE_FITTING,0.95,none,0.95,clef-CD007394_CURVE_FITTING_0.95_none_0.95.csv,1580
235,clef-CD007394,CURVE_FITTING,0.95,none,0.99,clef-CD007394_CURVE_FITTING_0.95_none_0.99.csv,1580
